Property Address,Property Name,Star Rating,Energy Star,LEED Certified,Building Status,Number Of Units,Style,RBA,Secondary Type,Market Name,Submarket Name,City,State,Zip,County Name,For Sale Price,For Sale Status,Year Built,Year Renovated,Number Of Stories,$Price/Unit,Cap Rate,Vacancy %,Avg Unit SF,Avg Asking/Unit,Avg Asking/SF,Avg Effective/Unit,Avg Effective/SF,Avg Concessions %,% Studios,% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,Rent Type,Affordable Type,Market Segment,Parking Spaces/Unit,Number Of Parking Spaces,Days On Market,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,All-Inclusive,All-Suites,Amenities,Anchor GLA,Anchor Tenants,Architect Name,Average Weighted Rent,Avg Asking/Bed,Avg Rent-Direct (Industrial),Avg Rent-Direct (Office),Avg Rent-Direct (Retail),Avg Rent-Sublet (Industrial),Avg Rent-Sublet (Office),Avg Rent-Sublet (Retail),Brand,Building Class,Building Operating Expenses,Building Park,Building Tax Expenses,Ceiling Ht,Closest Transit Stop,Closest Transit Stop Dist (mi),Closest Transit Stop Walk Time (min),Column Spacing,Constr Status,Construction Begin,Construction Material,Continent,Core Factor,Country,Cross Street,Developer Name,Direct Available Space,Direct Services,Direct Vacant Space,Drive Ins,Exp Year,Features,Fema Flood Zone,Flood Risk Area,For Sale Price/Room,Four Bedroom Asking Rent/Bed,Four Bedroom Asking Rent/SF,Four Bedroom Asking Rent/Unit,Four Bedroom Avg SF,Four Bedroom Concessions %,Four Bedroom Effective Rent/Bed,Four Bedroom Effective Rent/SF,Four Bedroom Effective Rent/Unit,Four Bedroom Vacancy %,Four Bedroom Vacant Units,Fund Name,Gas,Heating,Hotel Class,Hotel Grade,Hotel Location Type,Hotel Open Date,Hotel Operator,Land Area (AC),Land Area (SF),Last Sale Date,Last Sale Price,Latitude,Leasing Company Address,Leasing Company City State Zip,Leasing Company Contact,Leasing Company Fax,Leasing Company Name,Leasing Company Phone,Longitude,Max Building Contiguous Space,Max Contig Mtg Space,Max Floor Contiguous Space,Month Built,Month Renovated,Mtg Rooms,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Number of Beds,Number Of Cranes,Number Of Elevators,Number Of Loading Docks,Number Of Studios Units,Office Space,One Bedroom Asking Rent/Bed,One Bedroom Asking Rent/SF,One Bedroom Asking Rent/Unit,One Bedroom Avg SF,One Bedroom Concessions %,One Bedroom Effective Rent/Bed,One Bedroom Effective Rent/SF,One Bedroom Effective Rent/Unit,One Bedroom Vacancy %,One Bedroom Vacant Units,Operation Type,Operational Status,Ops Expense,Ops Expense Per SF,Owner Address,Owner City State Zip,Owner Contact,Owner Name,Owner Phone,Parcel Number 1(Min),Parcel Number 2(Max),Parent Company,Parking Ratio,Parking Spaces/Room,Percent Leased,Power,Pre-Leasing,Primary Agent Name,Primary Corridors,Property Location,Property Manager Address,Property Manager City State Zip,Property Manager Contact,Property Manager Name,Property Manager Phone,PropertyID,PropertyType,Proposed Land Use,Rail Lines,Recorded Owner Address,Recorded Owner City State Zip,Recorded Owner Contact,Recorded Owner Name,Recorded Owner Phone,Rent/SF/Yr,Restaurant,Rooms,Sale Company Address,Sale Company City State Zip,Sale Company Contact,Sale Company Fax,Sale Company Name,Sale Company Phone,Sales Company,Sales Contact,Sales Contact Phone,Scale,Services,Sewer,Smallest Available Space,Sprinklers,Studio Asking Rent/Bed,Studio Asking Rent/SF,Studio Asking Rent/Unit,Studio Avg SF,Studio Concessions %,Studio Effective Rent/Bed,Studio Effective Rent/SF,Studio Effective Rent/Unit,Studio Vacancy %,Studio Vacant Units,Subcontinent,Sublet Available Space,Sublet Services,Sublet Vacant Space,Submarket Cluster,Tax Year,Taxes Per SF,Taxes Total,Tenancy,Three Bedroom Asking Rent/Bed,Three Bedroom Asking Rent/SF,Three Bedroom Asking Rent/Unit,Three Bedroom Avg SF,Three Bedroom Concessions %,Three Bedroom Effective Rent/Bed,Three Bedroom Effective Rent/SF,Three Bedroom Effective Rent/Unit,Three Bedroom Vacancy %,Three Bedroom Vacant Units,Total Available Space (SF),Total Buildings,Total Mtg Space,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Total Vacant Available,True Owner Address,True Owner City State Zip,True Owner Contact,True Owner Name,True Owner Phone,Two Bedroom Asking Rent/Bed,Two Bedroom Asking Rent/SF,Two Bedroom Asking Rent/Unit,Two Bedroom Avg SF,Two Bedroom Concessions %,Two Bedroom Effective Rent/Bed,Two Bedroom Effective Rent/SF,Two Bedroom Effective Rent/Unit,Two Bedroom Vacancy %,Two Bedroom Vacant Units,Typical Floor Size,University,Water,Zoning
1219 S Lamar Blvd,Gibson Flats,4,,,Existing,202,Mid-Rise,161600,Apartments,Austin,Zilker,Austin,TX,78704-2305,Travis,,N,2013,,5,,,5.8,773.00,"2,190",2.83,"2,175",2.81,0.70,,85.15,14.85,,,Market,,All,1.34,270,0,01/22/2020,48453C0445K,48453C,0445K,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Picnic Area, Pool, Property Manager on Site, Grill, Package Service, Recycling, Wi-Fi, Elevator, Maintenance on site, Sundeck, Island Kitchen, Linen Closet, Wheelchair Accessible (Rooms), Window Coverings",,,Rhode Partners,-,,,,,,,,,B,2021 Tax @ $6040.66/Unit,,2021 Tax @ $6040.66/Unit,,Downtown Station,2.38,,,Existing,Jan 2012,Wood Frame,Americas,,United States,,Ardent Residential,,,0,,,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Picnic Area, Pool, Property Manager on Site, Grill, Package Service, Recycling, Wi-Fi, Elevator, Maintenance on site, Sundeck, Island Kitchen, Linen Closet, Wheelchair Accessible (Rooms), Window Coverings","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,2.36,102802,,,30.253944,,,,,,,-97.761919,,,,8,,,172,30,,,,,5,,,,"1,958",2.75,"1,958",711,0.70,"1,945",2.73,"1,945",5.80,10,,,,,55 E 52nd St Suite # 11th Floor,"New York, NY 10055-0002",,BlackRock,2128105300,01000301090000,01000301090000,,1.67,,,,,,,,1219 S Lamar Blvd,"Austin, TX 78704",,Greystar - Gibson Flats,5123269000,8336883,Multi-Family,,,400 Howard St,"San Francisco, CA 94105    ",,1219 South Lamar Venture LLC,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,South Central Austin,2021,7.55,1220212.42,,,,,,,,,,,,,1,,,,,,,,55 E 52nd St Suite # 11th Floor,"New York, NY 10055-0002",,BlackRock,2128105300,"1,761",3.12,"3,522",1130,0.70,"1,749",3.10,"3,498",6.70,2,32320,,,
1311 S Lamar Blvd,,4,,,Under Construction,309,Mid-Rise,138780,Apartments,Austin,Zilker,Austin,TX,78704-2390,Travis,,N,2023,,6,,,,500.00,,,,,0.00,32.36,32.36,35.28,,,Market,,All,,,0,01/22/2020,48453C0445K,48453C,0445K,No,100-year and 500-year Floodplain,No,No,,,,,-,,,,,,,,,A,2021 Tax @ $250.63/Unit,,2021 Tax @ $250.63/Unit,,Downtown Station,2.42,,,Under Construction,Feb 2022,,Americas,,United States,,,,,0,,,,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,0.89,38768,,,30.2531278,,,,,,,-97.762847,,,,6,,,100,109,,,,,0,,100,,,,,,,,,,,,,,,,4407 Bee Caves Rd Suite # 511,"West Lake Hills, TX 78746-6496",,"Seamless Capital, LP",5129702223,01000301180000,01000301180000,,,,,,,,,,1311 S Lamar Blvd,"Austin, TX 78704-2390",,1401 S Lamar Blvd,,11255566,Multi-Family,,,4407 Bee Caves Rd W Suite # 421,"West Lake Hills, TX 78746",,Seamless 290 West De Ltd,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,500.,,,,,,,North America,,,0,South Central Austin,2021,0.56,77443.41,,,,,,,,,,,,,2,,,,,,,,4407 Bee Caves Rd Suite # 511,"West Lake Hills, TX 78746-6496",,"Seamless Capital, LP",5129702223,,,,,,,,,,,16667,,,
1500 S Lamar Blvd,MAA South Lamar,4,,,Existing,646,Mid-Rise,275000,Apartments,Austin,Zilker,Austin,TX,78704,Travis,,N,2012,,4,,,8.3,810.00,"2,030",2.51,"2,012",2.48,0.90,10.68,61.30,28.02,,,Market/Affordable,Rent Restricted,All,0.47,300,0,01/22/2020,48453C0445K,48453C,0445K,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Pool, Grill, On-Site Retail, Pet Play Area, Recycling, Walking/Biking Trails, Storage Space, Elevator, Wheelchair Accessible (Rooms)",,,LRK Achitects,-,,,,,,,,,A,2021 Tax @ $2361.09/Unit,,2021 Tax @ $2361.09/Unit,,Downtown Station,2.56,,,Existing,,Wood Frame,Americas,,United States,,Ardent Residential LP,,,0,,,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Pool, Grill, On-Site Retail, Pet Play Area, Recycling, Walking/Biking Trails, Storage Space, Elevator, Wheelchair Accessible (Rooms)","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,4.04,175808,,,30.252516,,,,,,,-97.765028,,,,12,,,396,181,,,,,6,,69,,"1,921",2.68,"1,921",716,0.90,"1,904",2.66,"1,904",8.30,33,,,,,6815 Poplar Ave Suite # 500,"Germantown, TN 38138-3606",,"Mid-America Apartment Communities, Inc.",9016826600,01020404250000,01020404250000,,1.98,,,,,,,,1500 S Lamar Blvd,"Austin, TX 78704",,MAA - MAA South Lamar,5124459797,8280227,Multi-Family,,,6584 Poplar Ave,"Germantown, TN 38138    ",,Mid-America Apartments Lp,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,"1,286",2.54,"1,286",506.,0.90,"1,275",2.52,"1,275",8.70,6,North America,,,0,South Central Austin,2021,5.55,1525265.53,,,,,,,,,,,,,2,,,,,,,,6815 Poplar Ave Suite # 500,"Germantown, TN 38138-3606",,"Mid-America Apartment Communities, Inc.",9016826600,"1,276",2.25,"2,552",1132,0.90,"1,265",2.23,"2,529",8.30,15,61453,,,
1515 S Lamar Blvd,Fifteen15 S Lamar,4,,,Under Construction,328,Mid-Rise,320000,Apartments,Austin,Zilker,Austin,TX,78704-2922,Travis,,N,2022,,5,,,,,,,,,0.00,19.82,57.93,22.26,,,Market,,All,1.40,460,0,01/22/2020,48453C0445K,48453C,0445K,No,100-year and 500-year Floodplain,No,No,Bicycle Storage,,,,-,,,,,,,,,B,2021 Tax @ $1398.45/Unit,,2021 Tax @ $1398.45/Unit,,Downtown Station,2.59,,,Under Construction,Jun 2021,,Americas,,United States,,,,,0,,,Bicycle Storage,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,3.90,169884,,,30.2514166,,,,,,,-97.7640869,,,,12,,,190,73,,,,,0,,65,,,,,,,,,,,,,,,,"5355 Mira Sorrento Pl Suite # 100, 400, 500","San Diego, CA 92121-3803",,Fairfield,8584572123,04000402110000,04000402110000,,14.38,,,,,,,,1515 S Lamar Blvd,"Austin, TX 78704-2922",,Fairfield - Fifteen15 South Lamar,,11218828,Multi-Family,,,5510 Morehouse Dr,"San Diego, CA 92121-3788",,Fairfield South Lamar Lllp,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,South Central Austin,2021,1.43,458692.99,,,,,,,,,,,,,1,,,,,,,,"5355 Mira Sorrento Pl Suite # 100, 400, 500","San Diego, CA 92121-3803",,Fairfield,8584572123,,,,,,,,,,,64000,,,VMU
2717 S Lamar Blvd,Bell South Lamar,4,,,Existing,357,Mid-Rise,565596,Apartments,Austin,South Lamar,Austin,TX,78704,Travis,,N,2014,,4,,,7.0,864.00,"2,144",2.48,"2,127",2.46,0.80,11.20,61.06,27.73,,,Market/Affordable,Rent Subsidized,All,1.01,360,0,09/26/2008,48453C0585H,48453C,0585H,Yes,100-year Floodplain,No,No,"24 Hour Access, Air Conditioning, Business Center, Fitness Center, Breakfast/Coffee Concierge, Grill, On-Site Retail, Recycling, Storage Space, Pantry",,,,-,,,,,,,,,B,2021 Tax @ $5244.83/Unit,,2021 Tax @ $5244.83/Unit,,Downtown Station,3.78,,,Existing,Apr 2013,Reinforced Concrete,Americas,,United States,,Centro Development LLC,,,0,None,,"24 Hour Access, Air Conditioning, Business Center, Fitness Center, Breakfast/Coffee Concierge, Grill, On-Site Retail, Recycling, Storage Space, Pantry",The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,High Risk Areas,,,,,,,,,,,,,,,,,,,,10.35,450846,9/21/2021,"124,623,967",30.2431992,,,,,,,-97.7806861,,,,12,,,218,99,,,,,4,,40,,"1,884",2.50,"1,884",752,0.80,"1,869",2.48,"1,869",6.90,15,,,,,1 York St Suite # 1900,"Toronto, ON M5J 2L9",,Healthcare of Ontario Pension Plan,4163699212,04031008040000,04031008040000,,3.09,,,,,,,,2712 S Lamar Blvd,"Austin, TX 73301",,Bell - Bell South Lamar,5124424356,9062426,Multi-Family,,,,,,,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,"1,343",2.51,"1,343",535.,0.80,"1,333",2.49,"1,333",7.50,3,North America,,,0,South Central Austin,2021,3.31,1872402.60,,,,,,,,,,,,,10,,,,,,,,1 York St Suite # 1900,"Toronto, ON M5J 2L9",,Healthcare of Ontario Pension Plan,4163699212,"1,520",2.44,"3,040",1245,0.80,"1,508",2.42,"3,017",7.10,7,124431,,,
3401 S Lamar Blvd,The 704,4,,,Existing,378,Mid-Rise,342705,Apartments,Austin,South Lamar,Austin,TX,78704-7932,Travis,,N,2013,,4,,,4.7,890.00,"2,351",2.64,"2,336",2.62,0.60,17.20,51.32,31.48,,,Market/Affordable,Rent Subsidized,All,1.19,450,0,09/26/2008,48453C0585H,48453C,0585H,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Business Center, Controlled Access, Fitness Center, Laundry Facilities, Doorman, On-Site Retail, Elevator, Lounge, Sundeck, Window Coverings",,,Wilder Architects,-,,,,,,,,,B,2021 Tax @ $5298.05/Unit,,2021 Tax @ $5298.05/Unit,,Downtown Station,4.11,,,Existing,Nov 2012,Wood Frame,Americas,,United States,,Transwestern Real Estate Services,,,0,,,"Air Conditioning, Business Center, Controlled Access, Fitness Center, Laundry Facilities, Doorman, On-Site Retail, Elevator, Lounge, Sundeck, Window Coverings","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,5.07,220801,8/21/2015,"84,325,821",30.2401567,,,,,,,-97.7864072,,,,11,,,194,119,,,,,4,,65,,"2,177",2.68,"2,177",811,0.60,"2,163",2.67,"2,163",4.60,9,,,,,14 Corporate Plaza Dr Suite # 210,"Newport Beach, CA 92660-7913",,CWS Capital Partners LLC,9496404200,04031001290000,04031001290000,,1.21,,,,,,,,3401 S Lamar Blvd,"Austin, TX 78704-7932",,CWS Apartments - The 704,5124450704,9181894,Multi-Family,,,14 Corporate Plaza Dr,"Newport Beach, CA 92660-7913",,Sjs-deerwood Spe Llc,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,"1,521",2.93,"1,521",519.,0.60,"1,512",2.92,"1,512",4.60,3,North America,,,0,South Central Austin,2021,5.84,2002662.50,,,,,,,,,,,,,4,,,,,,,,14 Corporate Plaza Dr Suite # 210,"Newport Beach, CA 92660-7913",,CWS Capital Partners LLC,9496404200,"1,543",2.52,"3,087",1223,0.60,"1,534",2.51,"3,068",5.00,6,86619,,,
3607 S Lamar Blvd,Groves South Lamar,4,Energy Star,,Existing,307,Mid-Rise,307000,Apartments,Austin,South Lamar,Austin,TX,78704-7940,Travis,,N,2017,,5,,,6.5,773.00,"2,303",2.98,"2,286",2.96,0.70,2.61,78.50,18.89,,,Market/Affordable,Rent Restricted,All,,,0,09/26/2008,48453C0585H,48453C,0585H,No,100-year and 500-year Floodplain,No,No,"24 Hour Access, Air Conditioning, Business Center, Clubhouse, Courtyard, Fitness Center, Energy Star Labeled, Grill, Package Service, Pet Play Area, Roof Terrace, Lounge, Multi Use Room, Pet Care, Sundeck, Island Kitchen, Pantry, Vinyl Flooring",,,Davies Collaborative,-,,,,,,,,,A,2021 Tax @ $5113.35/Unit,,2021 Tax @ $5113.35/Unit,,Downtown Station,4.24,,,Existing,Oct 2016,,Americas,,United States,,Ardent Residential,,,0,,,"24 Hour Access, Air Conditioning, Business Center, Clubhouse, Courtyard, Fitness Center, Energy Star Labeled, Grill, Package Service, Pet Play Area, Roof Terrace, Lounge, Multi Use Room, Pet Care, Sundeck, Island Kitchen, Pantry, Vinyl Flooring","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,2.62,114127,12/4/2018,"75,020,000",30.238875,,,,,,,-97.7876401,,,,7,,,241,58,,,,,3,,8,,"2,041",2.93,"2,041",696,0.70,"2,026",2.91,"2,026",6.60,16,,,,,333 W Wacker Dr Suite # 2300,"Chicago, IL 60606-1220",,LaSalle Investment Management,3128974000,04041101550000,04041101550000,,,,,,,,,,3607 S Lamar Blvd,"Austin, TX 78704-7940",,Lincoln - Groves South Lamar,5124443607,10134387,Multi-Family,,,2141 Rosecrans Ave,"El Segundo, CA 90245",,Groves South Lamar LLC,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,"1,334",2.35,"1,334",569.,0.70,"1,324",2.33,"1,324",0.00,0,North America,,,0,South Central Austin,2021,5.11,1569798.83,,,,,,,,,,,,,1,,,,,,,,333 W Wacker Dr Suite # 2300,"Chicago, IL 60606-1220",,LaSalle Investment Management,3128974000,"1,762",3.15,"3,524",1119,0.70,"1,749",3.13,"3,498",6.90,4,61400,,,
13201 Legendary Dr,Highline Apartments,4,,,Existing,256,Garden,227800,Apartments,Austin,McNeil,Austin,TX,78727,Travis,,N,2015,,3,,,12.2,821.00,"1,793",2.18,"1,775",2.16,1.00,,62.50,31.25,6.25,,Market,,All,8.55,650,0,01/22/2020,48453C0255K,48453C,0255K,Yes,100-year Floodplain,No,No,"24 Hour Access, Air Conditioning, Clubhouse, Fitness Center, Gated, Gameroom, Grill, Pet Play Area, Yard, Patio, Vinyl Flooring",,,"Forum Architecture & Interior Design, Inc.",-,,,,,,,,,A,2021 Tax @ $4191.07/Unit,,2021 Tax @ $4191.07/Unit,,Howard Station,3.96,,,Existing,Jan 2015,Wood Frame,Americas,,United States,,EPOCH Residential,,,0,,,"24 Hour Access, Air Conditioning, Clubhouse, Fitness Center, Gated, Gameroom, Grill, Pet Play Area, Yard, Patio, Vinyl Flooring",The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,High Risk Areas,,,,,,,,,,,,,,,,,,,,24.44,1064606,9/13/2016,"42,500,000",30.4381693,,,,,,,-97.7319761,,,,10,,,160,80,16,,,,0,,,,"1,580",2.37,"1,580",668,1.00,"1,564",2.34,"1,564",11.90,19,,,,,88 Kearny St Suite # 1818,"San Francisco, CA 94108",Dennis Wong,Verbena Road Holdings Ltd.,4152887900,02700304010000,02700304010000,,2.60,,,,,,,,13201 Legendary Dr,"Austin, TX 78727",,SPI Texas Management - Highline Apartments,8554975295,9632985,Multi-Family,,,3889 Maple Ave Suite # 125,"Dallas, TX 75219-3911",,Highline Austin Partners LLC,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Northwest Austin,2021,4.71,1072912.99,,830,1.92,"2,489",1299,1.00,821,1.90,"2,464",12.50,2,,16,,,,,,,,88 Kearny St Suite # 1818,"San Francisco, CA 94108",Dennis Wong,Verbena Road Holdings Ltd.,4152887900,"1,040",2.02,"2,079",1031,1.00,"1,029",2.00,"2,058",12.50,10,75933,,,"LI-PDA, MF-4-CO"
13401 Legendary Dr,Monterra Luxury Apartments,4,,,Existing,256,Garden,236926,Apartments,Austin,McNeil,Austin,TX,78727-3907,Travis,,N,2013,,3,,,3.7,884.00,"1,638",1.85,"1,629",1.84,0.50,,56.25,37.50,6.25,,Market,,All,,,0,01/22/2020,48453C0255K,48453C,0255K,Yes,100-year Floodplain,No,No,"24 Hour Access, Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Pool, Property Manager on Site, Spa, Basketball Court, Car Wash Area, Grill, Guest Apartment, Maintenance on site, Wheelchair Accessible (Rooms), Window Coverings",,,,-,,,,,,,,,A,2021 Tax @ $4168.16/Unit,,2021 Tax @ $4168.16/Unit,,Howard Station,3.50,,,Existing,Oct 2012,,Americas,,United States,Legendary Drive,EPOCH Residential,,,0,,,"24 Hour Access, Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Pool, Property Manager on Site, Spa, Basketball Court, Car Wash Area, Grill, Guest Apartment, Maintenance on site, Wheelchair Accessible (Rooms), Window Coverings",The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,High Risk Areas,,,,,,,,,,,,,,,,,,,,19.59,853515,9/1/2021,,30.4386311,,,,,,,-97.733463,,,,10,,,144,96,16,,,,0,,,,"1,523",2.03,"1,523",750,0.50,"1,515",2.02,"1,515",3.50,5,,,,,900 S Capital Of Texas Hwy,"Austin, TX 78746    ",,Ladera Capital Partners,5129005933,02700304020000,02700304020000,,,,,,,,,,13401 Legendary Dr,"Austin, TX 78727-3907",,Greystar - Monterra Luxury Apartments,5122198700,8409351,Multi-Family,,,900 S Capital Of Texas Hwy,"West Lake Hills, TX 78746-5469",,Lcp Mfi Monterra Llc,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Northwest Austin,2021,4.5,1067050.08,,786,1.90,"2,357",1238,0.50,782,1.89,"2,345",6.30,1,,15,,,,,,,,900 S Capital Of Texas Hwy,"Austin, TX 78746    ",,Ladera Capital Partners,5129005933,846,1.65,"1,691",1027,0.50,841,1.64,"1,682",4.20,4,78975,,,MF-4-CO
650 Louis Henna Blvd,Alvista Round Rock,3,,,Existing,280,Garden,220792,Apartments,Austin,Round Rock,Round Rock,TX,78664,Williamson,,N,2014,,3,,,9.5,788.00,"1,530",1.94,"1,515",1.92,1.00,,74.29,25.71,,,Market,,All,2.00,560,0,12/20/2019,48491C0635F,48491C,0635F,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Pool, Property Manager on Site, Window Coverings",,,,-,,,,,,,,,B,2021 Tax @ $2874.90/Unit,,2021 Tax @ $2874.90/Unit,,Howard Station,5.76,,,Existing,Mar 2013,Wood Frame,Americas,,United States,,,,,0,,,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Pool, Property Manager on Site, Window Coverings","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,,,,,,,,,,,,,,,,,,,11.31,492620,10/15/2021,,30.4852509,,,,,,,-97.6543998,,,,3,,,208,72,,,,,0,,,,"1,449",2.17,"1,449",667,1.00,"1,435",2.15,"1,435",9.60,20,,,,,551 Madison Ave Suite # 8th Floor,"New York, NY 10022-3212",,Phoenix Realty Group LLC,2122071999,R391732,R391732,,2.10,,,,,,,,650 Louis Henna Blvd,"Round Rock, TX 78664-7304",,Internacional Realty - Alvista Round Rock,8332879157,9284766,Multi-Family,,,551 Madison Ave Suite # 8th Fl,"New York, NY 10022-3212",,"Austin 280 Owner, LLC",,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Round Rock,2021,3.65,804972.75,,,,,,,,,,,,,12,,,,,,,,551 Madison Ave Suite # 8th Floor,"New York, NY 10022-3212",,Phoenix Realty Group LLC,2122071999,882,1.55,"1,764",1140,1.00,873,1.53,"1,747",9.70,7,73598,,,
6400 Loyola Ln,Bridge at Loyola,4,,,Existing,204,Mid-Rise,187680,Apartments,Austin,Northeast Austin,Austin,TX,78724,Travis,,N,2022,,4,,,78.4,"1,033.00","1,538",1.49,"1,538",1.49,0.00,,8.33,49.02,36.27,6.37%,Market/Affordable,Rent Restricted,All,,,0,01/06/2016,48453C0470K,48453C,0470K,No,100-year and 500-year Floodplain,No,No,"Air Conditioning, Business Center, Fitness Center, Playground, Pool, Laundry Service, Elevator, Lounge, Sundeck, Patio",,,,-,,,,,,,,,B,2021 Tax @ $685.05/Unit,,2021 Tax @ $685.05/Unit,,"Martin Luther King, Jr. Station",4.95,,,Existing,Dec 2019,,Americas,,United States,,,,,0,,,"Air Conditioning, Business Center, Fitness Center, Playground, Pool, Laundry Service, Elevator, Lounge, Sundeck, Patio","Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",Moderate to Low Risk Areas,,602,1.69,"2,407",1423,0.00,602,1.69,"2,407",76.90,10,,,,,,,,,12.10,527085,,,30.301559,,,,,,,-97.6485434,,,,6,,,17,100,74,13,,,0,,,,"1,144",1.72,"1,144",666,0.00,"1,144",1.72,"1,144",76.50,13,,,,,1228 Euclid Ave Suite # 400,"Cleveland, OH 44115-1834",,The NRP Group,2164758900,02193316010000,02193316010000,,,,,,,,,,6400 Loyola Ln,"Austin, TX 78724",,NRP - Bridge of Loyola,5126406020,11808176,Multi-Family,,,27777 Franklin Rd,"Southfield, MI 48034",,Housing Authority Of The Coa,,Not Disclosed,No,,,,,,,,,,,Independent,,,,,,,,,,,,,,,North America,,,0,Northeast Austin,2021,0.74,139749.50,,530,1.40,"1,591",1136,0.00,530,1.40,"1,591",78.40,58,,1,,,,,,,,1228 Euclid Ave Suite # 400,"Cleveland, OH 44115-1834",,The NRP Group,2164758900,726,1.50,"1,453",971,0.00,726,1.50,"1,453",78.00,78,46920,,,
